ID Detailed Occupation,Detailed Occupation,Average Wage
111021,General & operations managers,78932.01272296738
1110XX,Chief executives & legislators,141283.83645852594
112011,Advertising & promotions managers,68524.37743676595
112020,Marketing & sales managers,88388.284735929
112021,Marketing managers,84553.35115257063
112022,Sales managers,106611.87331214701
112030,Public relations and fundraising managers,74606.32962434617
112031,Public relations & fundraising managers,77115.52023394054
113011,Administrative services managers (Legacy),60860.352127151564
113012,Administrative services managers,65180.529337833956
113013,Facilities managers,63234.3637466893
113021,Computer & information systems managers,102527.2721576413
113031,Financial managers,92038.95558870002
113051,Industrial production managers,77305.98243070339
113061,Purchasing managers,74013.09656763387
113071,"Transportation, storage, & distribution managers",53695.690697942235
113111,Compensation & benefits managers,78976.88495217955
113121,Human resources managers,72391.03540336741
113131,Training & development managers,66052.19979468547
119013,"Farmers, ranchers, & other agricultural managers",20768.158865386376
119021,Construction managers,61965.46836887661
119030,Education administrators,61611.01116745079
119041,Architectural & engineering managers,134098.2588754237
119051,Food service managers,36380.79684987779
119070,Entertainment and recreation managers,49636.583476051834
119071,Gaming managers,46915.713601103256
119081,Lodging managers,44643.67056716537
119111,Medical & health services managers,74643.1976723827
119121,Natural sciences managers,87041.6083510504
119141,"Property, real estate, & community association managers",50731.530055109695
119151,Social & community service managers,53910.81155826022
119161,Emergency management directors,61993.09140205178
1191XX,Other managers,81551.87862464933
119XXX,Miscellaneous managers,76855.99766280988
131011,"Agents & business managers of artists, performers, & athletes",52365.18566942112
131021,"Buyers & purchasing agents, farm products",48470.9709357977
131022,"Wholesale & retail buyers, except farm products",34179.94080459817
131023,"Purchasing agents, except wholesale, retail, & farm products",52067.00708327911
131030,"Claims adjusters, appraisers, examiners, & investigators",50551.26477380682
131041,Compliance officers,68567.09218929497
131051,Cost estimators,58963.60741807346
131070,Human resources workers,57666.48193707906
131081,Logisticians,51396.85651046584
131082,Project management specialists,85846.81864248517
131111,Management analysts,71424.88393523055
131121,"Meeting, convention, & event planners",36565.28803457047
131131,Fundraisers,52283.03605469805
131141,"Compensation, benefits, & job analysis specialists",52810.83156791437
131151,Training & development specialists,51927.48752447238
131161,Market research analysts & marketing specialists,67737.87609580542
131199,"Business operations specialists, all other",60104.46884870296
132011,Accountants & auditors,62325.81180323831
132020,Property appraisers and assessors,48461.502698798846
132021,Appraisers & assessors of real estate,41430.13728624902
132031,Budget analysts,69666.63007916698
132041,Credit analysts,65046.29732411437
132051,Financial analysts,99633.71762472302
132052,Personal financial advisors,110943.36940078795
132053,Insurance underwriters,65638.00450135449
132061,Financial examiners,84243.87504905622
132070,Credit counselors & loan officers,67871.33144378143
132081,"Tax examiners & collectors, & revenue agents",47345.32916778644
132082,Tax preparers,29580.191946286617
132099,Other financial specialists (Legacy),81530.76250135968
1320XX,Other financial specialists,98080.72862112064
151111,Computer & information research scientists,84720.89848589503
151121,Computer systems analysts (Legacy),73097.20395088615
151122,Information security analysts (Legacy),86362.19262035169
151131,Computer programmers (Legacy),71965.0999695138
151134,Web developers (Legacy),46405.24142840181
15113X,"Software developers, applications & systems software",94967.93595233769
151141,Database administrators,70983.91264877489
151142,Network & computer systems administrators,65649.78589158553
151143,Computer network architects (Legacy),91949.99006000136
151150,Computer support specialists (Legacy),52145.04735006669
151199,Other Computer Occupations,65355.398475336675
151211,Computer systems analysts,77237.25612018259
151212,Information security analysts,99255.28312032485
151221,Computer and information research scientists,94807.30005530169
151230,Computer support specialists,55567.94486305866
151241,Computer network architects,95432.99220300168
151244,Network and computer systems administrators,70080.64245976007
15124X,Database administrators and architects,79421.41349617914
151251,Computer programmers,77866.92885289535
151252,Software developers,105223.46968687045
151253,Software quality assurance analysts and testers,67147.49640006834
151254,Web developers,50938.46175184039
151255,Web and digital interface designers,38712.05936631088
151299,"Computer occupations, all other",66101.74828543983
152011,Actuaries,131082.8818200338
152031,Operations research analysts,72711.06132234662
1520XX,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",78440.25824818271
171010,"Architects, except naval",69477.0325260177
171011,"Architects, except landscape and naval",77911.62260282584
171012,Landscape architects,52836.31464534281
171020,"Surveyors, cartographers, & photogrammetrists",49595.98174533926
172011,Aerospace engineers,93327.56427806841
172041,Chemical engineers,95707.39540394994
172051,Civil engineers,78192.060073669
172061,Computer hardware engineers,91131.80557198216
172070,Electrical & electronics engineers,86776.8579969871
172081,Environmental engineers,71953.92582655714
1720XX,Biomedical & agricultural engineers,78561.54284776543
172110,"Industrial engineers, including health & safety",72963.74519021867
172121,Marine engineers & naval architects,77269.36190729694
172131,Materials engineers,75692.34374789787
172141,Mechanical engineers,77923.2754670551
1721XX,"Petroleum, mining & geological engineers, including mining safety engineers",121965.87102455912
1721YY,"Miscellaneous engineers, including nuclear engineers",86422.79194750793
173010,Drafters,42443.45276676835
173011,Architectural and civil drafters,47426.37505773672
17301X,Other drafters,46485.453612793
173020,"Engineering technicians, except drafters",47122.80329064613
173023,Electrical and electronic engineering technologists and technicians,53540.34918912635
17302X,"Other engineering technologists and technicians, except drafters",50386.275107003865
173031,Surveying & mapping technicians,40036.67539118913
191010,Agricultural & food scientists,57183.49823881267
191020,Biological scientists,59556.86879827084
191030,Conservation scientists & foresters,49378.97454900559
1910XX,"Medical scientists, & life scientists, all other",79977.46222023785
192010,Astronomers & physicists,84055.70255182173
192021,Atmospheric & space scientists,72197.66650857519
192030,Chemists & materials scientists,71654.08234075189
192040,Environmental scientists & geoscientists,78773.99688756361
192041,"Environmental scientists and specialists, including health",65728.77726596073
19204X,"Geoscientists and hydrologists, except geographers",87151.5303347076
192099,Other Physical Scientists,73811.74773838854
193011,Economists,114682.51872642571
193030,Psychologists,48443.71249789532
193033,Clinical and counseling psychologists,51778.568506249576
193034,School psychologists,62474.844013314316
19303X,Other psychologists,53563.49249437002
193051,Urban & regional planners,63264.654590913924
1930XX,"Miscellaneous social scientists, including survey researchers & sociologists",47658.99585933047
194010,Agricultural and food science technicians,42315.662960484886
194011,Agricultural & food science technicians,37224.7951832323
194021,Biological technicians,41851.05012438324
194031,Chemical technicians,45774.816572836535
1940XX,"Geological & petroleum technicians, & nuclear technicians",61372.75083753752
1940YY,"Miscellaneous life, physical, & social science technicians, including social science research assistants",30394.928688503973
195010,Occupational health and safety specialists and technicians,57535.97015304272
211010,Counselors,34231.64447976041
211011,Substance abuse and behavioral disorder counselors,37571.745777227094
211012,"Educational, guidance, and career counselors and advisors",42271.27930216287
211013,Marriage and family therapists,26915.136379490756
211014,Mental health counselors,35007.97858918456
211015,Rehabilitation counselors,46693.60908408921
211019,"Counselors, all other",29336.140976319868
211020,Social workers,38687.02945224081
211021,"Child, family, and school social workers",40268.08144283756
211022,Healthcare social workers,40489.77443785951
211023,Mental health and substance abuse social workers,39950.28906343686
211029,"Social workers, all other",42459.290731701134
211092,Probation officers & correctional treatment specialists,46213.348135726024
211093,Social & human service assistants,30698.30014742825
21109X,"Miscellaneous community & social service specialists, including health educators & community health workers",35919.69688191546
212011,Clergy,37242.277296257234
212021,"Directors, religious activities & education",33245.32234488096
212099,"Religious workers, all other",21810.05218298427
231012,Judicial law clerks,45501.206595896656
2310XX,"Lawyers, & judges, magistrates, & other judicial workers",124478.50814810928
232011,Paralegals & legal assistants,42361.440873453605
232090,Miscellaneous legal support workers,43860.39869419298
232093,"Title examiners, abstractors, and searchers",48875.86334200142
232099,"Legal support workers, all other",51851.69868932738
251000,Postsecondary teachers,49991.329345329796
252010,Preschool & kindergarten teachers,19728.175206617434
252020,Elementary & middle school teachers,40532.76271944736
252030,Secondary school teachers,44453.7424627428
252050,Special education teachers,39431.04420467718
253000,Other teachers & instructors,21623.964474183816
253041,Tutors,7886.36983348715
2530XX,Other teachers and instructors,27488.374420101758
254010,"Archivists, curators, & museum technicians",38222.123354721945
254021,Librarians,35098.40522010129
254022,Librarians and media collections specialists,38743.72834992776
254031,Library technicians,14012.28505062732
259040,Teaching assistants,17811.086020843995
259041,Teacher assistants,16429.22225285136
2590XX,"Other education, training, & library workers",37658.63625455013
271010,Artists & related workers,25804.65972662201
271020,Designers,39461.492363707664
271021,Commercial and industrial designers,64670.474974791454
271022,Fashion designers,42376.83793625729
271023,Floral designers,19378.37092044049
271024,Graphic designers,38353.11703256923
271025,Interior designers,36057.52256948615
271026,Merchandise displayers and window trimmers,21568.25270854459
27102X,Other designers,53254.28081265958
272011,Actors,23837.018882976114
272012,Producers & directors,65061.10863708074
272020,"Athletes, coaches, umpires, & related workers",22324.53315025806
272021,Athletes and sports competitors,46411.686201250996
272022,Coaches and scouts,23108.58017214645
272023,"Umpires, referees, and other sports officials",6318.698676389224
272030,Dancers & choreographers,17699.00377463418
272040,"Musicians, singers, & related workers",19069.050963098594
272041,Music directors and composers,34240.47854996907
272042,Musicians and singers,16029.08324698749
272091,"Disc jockeys, except radio",13987.332464362971
272099,"Entertainers & performers, sports & related workers, all other",20966.251639698374
273010,Announcers,34742.579229071045
273011,Broadcast announcers and radio disc jockeys,47494.13361466179
273020,"News analysts, reporters & correspondents",49125.2389564939
273023,"News analysts, reporters, and journalists",55210.178798093686
273031,Public relations specialists,65890.44220114923
273041,Editors,42043.86066368738
273042,Technical writers,56772.363575088
273043,Writers & authors,35383.705365724476
273090,Miscellaneous media & communication workers,25638.784993205372
273091,Interpreters and translators,24839.232647500077
273092,Court reporters and simultaneous captioners,41302.23245893465
273099,"Media and communication workers, all other",45738.47699453552
274021,Photographers,18706.69295753645
274030,"Television, video, & motion picture camera operators & editors",38307.65295374869
2740XX,"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",41004.89901249011
291011,Chiropractors,58929.317817604286
291020,Dentists,127707.80053807773
291031,Dietitians & nutritionists,39096.582625035946
291041,Optometrists,91038.6455644665
291051,Pharmacists,88632.34688145593
291060,Physicians & surgeons,196340.08588736004
291071,Physician assistants,92251.10058815022
291081,Podiatrists,112776.64908379482
291122,Occupational therapists,55173.350408930695
291123,Physical therapists,62904.28474109715
291124,Radiation therapists,70664.7923644221
291125,Recreational therapists,33019.79909117797
291126,Respiratory therapists,51020.96436409805
291127,Speechlanguage pathologists,50207.30577175528
29112X,"Other therapists, including exercise physiologists",36901.664170625954
291131,Veterinarians,84868.11662911795
291141,Registered nurses,55375.02748930428
291151,Nurse anesthetists,137847.88905761446
291181,Audiologists,61989.37370088788
291199,"Health diagnosing & treating practitioners, all other",29673.923581608364
2911XX,Nurse practitioners & nurse midwives,87225.35349109002
291210,Physicians,206831.79290917714
291240,Surgeons,282720.32402206364
291291,Acupuncturists,32554.318695048587
291292,Dental hygienists,45805.26850247612
291299,"Healthcare diagnosing or treating practitioners, all other",37306.6950723478
292010,Clinical laboratory technologists & technicians,40537.11193698079
292021,Dental hygienists (Legacy),44857.30816585913
292030,Diagnostic related technologists & technicians,49375.7855000374
292031,Cardiovascular technologists and technicians,76805.666221549
292032,Diagnostic medical sonographers,73862.48732493505
292034,Radiologic technologists and technicians,56736.64149052558
292035,Magnetic resonance imaging technologists,100650.60025262598
29203X,Nuclear medicine technologists and medical dosimetrists,132946.1370184876
292041,Emergency medical technicians & paramedics,39653.78844172641
292042,Emergency medical technicians,32942.22322574207
292043,Paramedics,52015.679790635775
292050,Health practitioner support technologists & technicians,30402.966992326496
292052,Pharmacy technicians,26957.903027151304
292053,Psychiatric technicians,28564.153121289757
292055,Surgical technologists,43286.84426099381
292056,Veterinary technologists and technicians,26028.87830357999
29205X,Dietetic technicians and ophthalmic medical technicians,23782.078309031614
292061,Licensed practical & licensed vocational nurses,31387.677482973708
292071,Medical records & health information technicians,33998.226652079495
292072,Medical records specialists,36712.267680268946
292081,"Opticians, dispensing",33867.31550810833
292090,Miscellaneous health technologists & technicians,40881.490835307755
299000,Other healthcare practitioners & technical Occupations,50832.997136739934
311010,"Nursing, psychiatric, & home health aides",19476.85154869029
311121,Home health aides,17849.767202998682
311122,Personal care aides,17215.14524964851
311131,Nursing assistants,22241.871595290642
31113X,Orderlies and psychiatric aides,25306.18528302336
312010,Occupational therapy assistants & aides,33668.361686714714
312020,Physical therapist assistants & aides,31635.577168161715
319011,Massage therapists,15319.74753251681
319091,Dental assistants,25885.726746630073
319092,Medical assistants,25862.6901438965
319094,Medical transcriptionists,16389.409530397217
319095,Pharmacy aides,26736.33731428137
319096,Veterinary assistants & laboratory animal caretakers,20893.238519564824
319097,Phlebotomists,25624.922921706206
31909X,"Healthcare support workers, all other, including medical equipment preparers",24128.41562454649
331011,Firstline supervisors of correctional officers,49417.46122027499
331012,Firstline supervisors of police & detectives,72515.40418093909
331021,Firstline supervisors of fire fighting & prevention workers,79095.65843796109
331090,"Miscellaneous first-line supervisors, protective service workers",56702.29217997607
331099,"Firstline supervisors of protective service workers, all other",48601.00342814028
332011,Firefighters,60741.10529640623
332020,Fire inspectors,50797.66099089327
333010,"Bailiffs, correctional officers, & jailers",41917.26713345311
333011,Bailiffs,46785.268200864215
333012,Correctional officers and jailers,44429.20154510544
333021,Detectives & criminal investigators,69472.63203857554
333050,Police officers,60089.14988865874
3330XX,Miscellaneous law enforcement workers,32990.71055263672
339011,Animal control workers,31664.400310804955
339021,Private detectives & investigators,49400.32033046294
339030,Security guards & gaming surveillance officers,26130.68244250902
339091,Crossing guards,13821.367493635156
339093,Transportation security screeners,38949.33111097973
339094,School bus monitors,12474.380950476838
33909X,"Lifeguards & other recreational, & all other protective service workers",6448.728395134485
351011,Chefs & head cooks,28945.322882471555
351012,Firstline supervisors of food preparation & serving workers,23221.954729882902
352010,Cooks,14098.432544230098
352021,Food preparation workers,10835.081664624096
353011,Bartenders,20756.10602263361
353021,"Combined food preparation & serving workers, including fast food",10547.79130059477
353022,"Counter attendants, cafeteria, food concession, & coffee shop",6455.110511989865
353023,Fast food and counter workers,9869.71326107109
353031,Waiters & waitresses,13445.613291670847
353041,"Food servers, nonrestaurant",14832.075398137815
359011,Dining room and cafeteria attendants and bartender helpers,10311.274709741876
359021,Dishwashers,9084.450009043796
359031,"Hosts & hostesses, restaurant, lounge, & coffee shop",7298.707426565948
359099,"Food preparation and serving related workers, all other",15950.87537316969
3590XX,"Miscellaneous food preparation & serving related workers, including dining room & cafeteria attendants & bartender helpers",10035.93296806955
371011,Firstline supervisors of housekeeping & janitorial workers,30437.467101766866
371012,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",30445.47264440623
372012,Maids & housekeeping cleaners,11456.897790943178
37201X,Janitors & building cleaners,18652.591724538102
372021,Pest control workers,29891.98287691988
