Location,Total salary,Average salary,occupation_name
"Upper East Side PUMA, NY",16350264102.0,52508.82876965145,"Library assistants, clerical"
"Upper West Side & West Side PUMA, NY",15868328961.0,50085.86270362446,Loan interviewers & clerks
"Battery Park City, Greenwich Village & Soho PUMA, NY",15377351515.0,49135.898977416255,Food preparation workers
"Mountain View, Palo Alto & Los Altos Cities PUMA, CA",14863582157.0,49683.803083709456,Speechlanguage pathologists
"Chelsea, Clinton & Midtown Business District PUMA, NY",14701992831.0,50217.84974158469,Medical records specialists
"Bethesda, Potomac & North Bethesda PUMA, MD",12229529528.0,50475.60054132423,"Communications equipment operators, all other"
"Livermore, Pleasanton & Dublin Cities PUMA, CA",12066035988.0,47618.22434989061,Coaches and scouts
"Lake View & Lincoln Park PUMA, IL",11738076940.0,49107.229609789465,Miscellaneous plant & system operators
"Murray Hill, Gramercy & Stuyvesant Town PUMA, NY",11470989738.0,52410.79937326628,Dental hygienists
"Near North Side, Loop & Near South Side PUMA, IL",10926912259.0,51128.06640450168,"Lifeguards & other recreational, & all other protective service workers"
"Sunnyvale & San Jose (North) Cities PUMA, CA",10588976384.0,49986.98022870628,Social & human service assistants
"District of Columbia (Central) PUMA, DC",10545357214.0,49986.23167276749,Other psychologists
"Cupertino, Saratoga Cities & Los Gatos Town PUMA, CA",10251128579.0,51306.7003286331,Driver/sales workers & truck drivers
"Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA, CA",10104971027.0,46124.20595979399,Retail salespersons
"Inner Mission & Castro PUMA, CA",10058208264.0,50983.48304590882,Compliance officers
"LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, CA",9805995712.0,45958.46396954679,Customer service representatives
"South of I-10 & Inside Loop I-610 PUMA, TX",9802483755.0,51227.454227247574,Millwrights
"Fremont City (East) PUMA, CA",9731438013.0,46950.48927184685,"Laborers & freight, stock, & material movers, hand"
"Franklin & Brentwood Cities PUMA, TN",9619465101.0,46189.941081294084,Aircraft pilots & flight engineers
"Stamford & Greenwich Towns PUMA, CT",9532043052.0,47297.80444313048,Training & development specialists
"Queen Anne & Magnolia PUMA, WA",9173930861.0,46895.99812581781,"Shipping, receiving, & traffic clerks"
"Richmond District PUMA, CA",9120490805.0,46935.90752740756,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
"South of Market & Potrero PUMA, CA",9090874473.0,47571.09628320659,Structural metal fabricators & fitters
"Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA, MA",9077218778.0,48643.4282062001,Miscellaneous health technologists & technicians
"Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA, WA",8932810849.0,50088.9695994261,Accountants & auditors
"Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA, CA",8911917343.0,49092.87429853755,"Maintenance workers, machinery"
"Irvine City (Central) PUMA, CA",8883734956.0,47053.32511650669,Network and computer systems administrators
"LA City (West Central/Westwood & West Los Angeles) PUMA, CA",8817751226.0,45368.67611512337,Construction laborers
"Forsyth County PUMA, GA",8798155343.0,45980.873598253005,"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians"
"White Plains City PUMA, NY",8789017862.0,46251.1755277603,"Claims adjusters, appraisers, examiners, & investigators"
"Seattle City (Northwest) PUMA, WA",8559797364.0,47707.403822112916,Firstline supervisors of nonretail sales workers
"Lake Forest, Irvine (North) Cities & Silverado PUMA, CA",8529336519.0,44323.45037028703,Laundry & drycleaning workers
"Oakland (East) & Piedmont Cities PUMA, CA",8506309913.0,48384.65954100007,"Power plant operators, distributors, & dispatchers"
"Philadelphia City (Center City) PUMA, PA",8439705072.0,48754.253658504356,Licensed practical & licensed vocational nurses
"LA City (Central/Pacific Palisades) PUMA, CA",8419001226.0,47683.16360652956,Receptionists & information clerks
"West Town, Near West Side & Lower West Side PUMA, IL",8409676664.0,46875.648104521686,Chief executives & legislators
"Redwood City, San Carlos & Belmont Cities PUMA, CA",8401415751.0,46870.91045092426,Industrial & refractory machinery mechanics
"Brooklyn Heights & Fort Greene PUMA, NY",8393712946.0,47661.3141156333,"Medical, dental, & ophthalmic laboratory technicians"
"Reston (North) & Franklin Farm PUMA, VA",8309604228.0,48353.42699863119,"Coin, vending, & amusement machine servicers & repairers"
"Fort Bend County (West & South) PUMA, TX",8296812188.0,47914.418106859914,Firstline supervisors of production & operating workers
"San Rafael (South), Mill Valley & Sausalito Cities PUMA, CA",8277934686.0,48411.48248100304,Pharmacy technicians
"San Ramon City & Danville Town PUMA, CA",8234954382.0,52046.428021299296,Veterinary technologists and technicians
"San Jose (Northwest) & Santa Clara Cities PUMA, CA",8137271702.0,46740.74407990617,Elementary & middle school teachers
"North Beach & Chinatown PUMA, CA",8128439925.0,46790.34725774028,"Bookkeeping, accounting, & auditing clerks"
"San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA, CA",8120382747.0,49853.88714138261,"Educational, guidance, and career counselors and advisors"
"Dale City, Lake Ridge & Woodbridge PUMA, VA",8097113769.0,43537.61451310207,"Motor vehicle operators, all other"
"Greater Bellevue City PUMA, WA",8081510200.0,49415.35442260137,"Umpires, referees, and other sports officials"
"Frisco City (East) & Prosper Town PUMA, TX",8073533536.0,49061.14880579077,Marketing managers
"Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA, WA",8033944172.0,47967.67518474586,"Heating, air conditioning, & refrigeration mechanics & installers"
"Ashburn (Southwest/Belmont Ridge) & Dulles Airport PUMA, VA",7994322748.0,49386.42300101195,Graphic designers
"Northfield & New Trier Townships PUMA, IL",7953935841.0,48959.16644987214,Automotive glass installers & repairers
"Newton City & Brookline Town PUMA, MA",7932694288.0,46409.0468906523,"Securities, commodities, & financial services sales agents"
"Rockville, Gaithersburg Cities & North Potomac PUMA, MD",7926949250.0,47167.34503761349,"Bus drivers, school"
"Norwalk, Westport & Darien Towns PUMA, CT",7907464755.0,46416.50065977323,Food batchmakers
